index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
515,"Schlund, Robby",AfD,Promotion,Abitur,Kein politisches Amt,Militär
516,Schmid,SPD,Promotion,Abitur,Landtag,Rechtsanwalt/Kanzlei
517,"Schmidt, Christian",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
518,"Schmidt, Frithjof",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Journalismus
519,"Schmidt, Stefan",Die Grünen,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Akademische Lehre
520,"Schmidt, Ulla",SPD,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Lehrer
521,"Schmidt, Uwe",SPD,Berufsausbildung,Mittlere Reife,Kommunale Räte,Handwerk
522,"Schmidtke, Claudia",Union,Promotion,Abitur,Kein politisches Amt,NGO/Vereinstätigkeit
523,Schneider,SPD,Berufsausbildung,Abitur,Kein politisches Amt,Bankwesen
524,"Schneider, Jörg",AfD,Masterabschluss,Abitur,Kein politisches Amt,Militär
525,"Schnieder, Patrick",Union,Staatsexamen,Abitur,Kommunales Führungsamt,Politik
526,Schraps,SPD,Masterabschluss,Abitur,Kommunale Räte,Politik
527,"Schreiner, Felix",Union,Duales Studium,Mittlere Reife,Landtag,Politik
528,Schrodi,SPD,Staatsexamen,Keine Daten,Kommunales Führungsamt,Bankwesen
529,"Schulz, Jimmy",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
530,"Schulz, M.",SPD,Berufsausbildung,Abitur,Parteiamt auf Bundes- oder Landesebene,Service
531,"Schulz, S.",SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Politik
532,"Schulz, Uwe",AfD,Bachelorabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
533,"Schulz-Asche, Kordula",Die Grünen,Masterabschluss,Abitur,Landtag,NGO/Vereinstätigkeit
534,"Schulze, Klaus-Peter",Union,Masterabschluss,Abitur,Kommunales Führungsamt,Soziale Arbeit und Kinderbetreuung
535,"Schummer, Uwe",Union,Berufsausbildung,Abitur,Kein politisches Amt,Politik
536,Schurer,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Bankwesen
537,"Schuster, Armin",Union,Duales Studium,Mittlere Reife,Kein politisches Amt,Polizei/Strafverfolgung*Staatsanwalt
538,Schwabe,SPD,Bachelorabschluss,Abitur,Kommunale Räte,Bankwesen
539,Schwartze,SPD,Berufsausbildung,Abitur,Kommunales Führungsamt,Ingenieurwesen und Bau
540,Schwarz,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Bankwesen
541,Schwarzelühr-Sutter,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Bankwesen
542,"Schweiger, Torsten",Union,Masterabschluss,Abitur,Kommunale Räte,Verwaltung
543,Schäfer,SPD,Berufsausbildung,Abitur,Führungsposition auf Landesebene,Service
544,"Schäfer, Anita ",Union,Berufsausbildung,Mittlere Reife,Kein politisches Amt,Politik
545,"Schäffler, Frank",FDP,Masterabschluss,Abitur,Kein politisches Amt,Unternehmer
546,"Schäuble, Wolfgang",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
547,"Schön, Nadine",Union,Masterabschluss,Abitur,Landtag,Politik
548,Schüle,SPD,Promotion,Keine Daten,Landtag,Politik
549,"Seestern-Pauly, Matthias",FDP,Staatsexamen,Abitur,Kommunale Räte,Lehrer
550,"Seif, Detlef",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
551,"Seitz, Thomas",AfD,Staatsexamen,Abitur,Kein politisches Amt,Verwaltung
552,"Selle, Johannes",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
553,"Sendker, Reinhold",Union,Masterabschluss,Mittlere Reife,Landtag,Lehrer
554,"Sensburg, Patrick",Union,Promotion,Abitur,Kommunale Räte,Akademische Lehre
555,Sevim Dağdelen,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
556,"Sichert, Martin",AfD,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
557,"Silberhorn, Thomas",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
558,"Simon, Björn",Union,Masterabschluss,Abitur,Kommunale Räte,Unternehmer
559,Simone Barrientos,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
560,"Sitta, Frank",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Kultur
561,"Skudelny, Judith",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
562,"Solms, Hermann Otto",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
563,"Sorge, Tino",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
564,"Spahn, Jens",Union,Masterabschluss,Abitur,Kommunale Räte,Bankwesen
565,"Spangenberg, Detlev",AfD,Masterabschluss,Abitur,Kein politisches Amt,Steuerberatung und Wirtschaftsprüfung
566,"Spaniel, Dirk",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Ingenieurwesen und Bau
567,Spiering,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Lehrer
568,"Springer, René",AfD,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Politik
569,Stadler,SPD,Berufsausbildung,Abitur,Kommunales Führungsamt,Service
570,"Staffler, Katrin",Union,Masterabschluss,Abitur,Kommunale Räte,Journalismus
571,Stamm-Fibich,SPD,Berufsausbildung,Mittlere Reife,Kein politisches Amt,Keine Daten
572,"Stark-Watzinger, Bettina",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Bankwesen
573,"Steffel, Frank",Union,Masterabschluss,Abitur,Landtag,Unternehmer
574,"Stefinger, Wolfgang",Union,Promotion,Abitur,Kommunale Räte,Privatwirtschaft/Management
575,"Stegemann, Albert",Union,Berufsausbildung,Mittlere Reife,Kein politisches Amt,Landwirtschaft
576,"Steier, Andreas",Union,Masterabschluss,Abitur,Kommunale Räte,Ingenieurwesen und Bau
577,Stein,SPD,Berufsausbildung,Mittlere Reife,Landtag,Ingenieurwesen und Bau
578,"Stein, Peter",Union,Masterabschluss,Abitur,Landtag,Ingenieurwesen und Bau
579,"Steineke, Sebastian",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
580,"Steiniger, Johannes",Union,Staatsexamen,Abitur,Kommunale Räte,Lehrer
581,"Stier, Dieter",Union,Duales Studium,Mittlere Reife,Kommunale Räte,Verwaltung
582,"Storch, Beatrix von",AfD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
583,"Storjohann, Gero",Union,Duales Studium,Abitur,Landtag,Verwaltung
584,"Strack-Zimmermann, Marie-Agnes",FDP,Promotion,Abitur,Kommunales Führungsamt,Journalismus
585,"Stracke, Stephan",Union,Staatsexamen,Abitur,Kommunale Räte,Verwaltung
586,"Strasser, Benjamin",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
587,"Straubinger, Max",Union,Berufsausbildung,Mittlere Reife,Kommunale Räte,Bankwesen
588,"Strengmann-Kuhn, Wolfgang",Die Grünen,Promotion,Abitur,Führungsposition auf Landesebene,Wissenschaft
589,"Strenz, Karin",Union,Masterabschluss,Mittlere Reife,Landtag,Lehrer
590,"Stumpp, Margit",Die Grünen,Masterabschluss,Abitur,Kommunales Führungsamt,Ingenieurwesen und Bau
591,"Stübgen, Michael",Union,Staatsexamen,Abitur,Kommunale Räte,Kirche
592,"Suding, Katja",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
593,Susanne Ferschl,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
594,Sylvia Gabelmann,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
595,Sören Pellmann,Die Linke,Staatsexamen,Mittlere Reife,Keine Daten,Keine Daten
596,Tack,SPD,Masterabschluss,Keine Daten,Kommunale Räte,Lehrer
597,"Tauber, Peter",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
598,Tausend,SPD,Masterabschluss,Abitur,Führungsposition auf Landesebene,Wissenschaft
599,"Tebroke, Hermann-Josef",Union,Promotion,Abitur,Kommunales Führungsamt,Politik
600,"Teuteberg, Linda",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
601,"Theurer, Michael",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
602,Thews,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Ingenieurwesen und Bau
603,"Thies, Hans-Jürgen",Union,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
604,"Thomae, Stephan",FDP,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
605,Thomas Lutze,Die Linke,Berufsausbildung,Keine Daten,Keine Daten,Keine Daten
606,Thomas Nord,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
607,"Throm, Alexander",Union,Staatsexamen,Abitur,Landtag,Politik
608,"Tiemann, Dietlind",Union,Promotion,Abitur,Kommunales Führungsamt,Politik
609,"Tillmann, Antje",Union,Duales Studium,Abitur,Kommunale Räte,Steuerberatung und Wirtschaftsprüfung
610,"Toltenhaus, Manfred",FDP,Berufsausbildung,Hauptschulabschluss,Kommunale Räte,Handwerk
611,"Toncar, Florian",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
612,"Tressel, Markus",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Keine Daten
613,"Trittin, Jürgen",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Keine Daten
614,Träger,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Politik
615,Töns,SPD,Masterabschluss,Abitur,Landtag,Politik
616,"Uhl, Markus",Union,Masterabschluss,Abitur,Kommunale Räte,Politik
617,Ulla Jelpke,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
618,"Ullmann, Andrew",FDP,Promotion,Abitur,Kommunale Räte,Medizin/Arzt
619,"Ullrich, Gerald",FDP,Bachelorabschluss,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Unternehmer
620,"Ullrich, Volker",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
621,"Vaatz, Arnold",Union,Masterabschluss,Abitur,Führungsposition auf Landesebene,Handwerk
622,"Veith, Oswin",Union,Staatsexamen,Abitur,Kommunales Führungsamt,Politik
623,"Verlinden, Julia",Die Grünen,Masterabschluss,Abitur,Kommunales Führungsamt,Wissenschaft
624,"Vieregge, Kerstin",Union,Duales Studium,Abitur,Kommunale Räte,Politik
625,"Vogel, Johannes",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Verwaltung
626,"Vogel, Volkmar",Union,Duales Studium,Abitur,Kommunale Räte,Privatwirtschaft/Management
627,Vogt,SPD,Staatsexamen,Abitur,Landtag,Rechtsanwalt/Kanzlei
628,Völlers,SPD,Staatsexamen,Abitur,Kommunale Räte,Lehrer
629,"Wadephul, Johann David",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
630,"Walter-Rosenheimer, Beate",Die Grünen,Masterabschluss,Abitur,Kommunales Führungsamt,Medizin/Arzt
631,"Wanderwitz, Marco",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
632,"Warken, Nina",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
633,"Weeser, Sandra",FDP,Bachelorabschluss,Abitur,Keine Daten,Privatwirtschaft/Management
634,"Wegner, Kai",Union,Berufsausbildung,Mittlere Reife,Landtag,Privatwirtschaft/Management
635,"Weidel, Alice",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
636,"Weiler, Albert H.",Union,Masterabschluss,Abitur,Kommunales Führungsamt,Verwaltung
637,"Weinberg, Marcus",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Lehrer
638,"Weisgerber, Anja",Union,Promotion,Abitur,Landtag,Rechtsanwalt/Kanzlei
639,"Weiss, Sabine",Union,Staatsexamen,Abitur,Kommunales Führungsamt,Politik
640,"Weiß, Peter",Union,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
641,"Wellenreuther, Ingo",Union,Staatsexamen,Abitur,Kommunale Räte,Politik
642,"Wendt, Marian",Union,Masterabschluss,Abitur,Kein politisches Amt,Politik
643,"Westig, Nicole",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
644,Westphal,SPD,Berufsausbildung,Abitur,Kommunales Führungsamt,Keine Daten
645,"Weyel, Harald (Prof.)",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
646,"Whittaker, Kai",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
647,"Widmann-Mauz, Annette",Union,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
648,"Wiehle, Wolfgang",AfD,Masterabschluss,Abitur,Kein politisches Amt,Service
649,Wiese,SPD,Staatsexamen,Abitur,Kommunales Führungsamt,Keine Daten
650,"Wiesmann, Bettina Margarethe",Union,Masterabschluss,Abitur,Landtag,Politik
651,"Wildberg, Heiko",AfD,Promotion,Abitur,Kein politisches Amt,PR/Werbung
652,"Wilkomm, Katharina",FDP,Staatsexamen,Abitur,Führungsposition auf Landesebene,Rechtsanwalt/Kanzlei
653,"Willsch, Klaus-Peter",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
654,"Winkelmeier-Becker, Elisabeth",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Richteramt
655,"Wirth, Christian",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
656,"Witt, Uwe",AfD,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
657,"Wittke, Oliver",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
658,Yüksel,SPD,Berufsausbildung,Keine Daten,Kommunale Räte,Keine Daten
659,"Zeulner, Emmi",Union,Bachelorabschluss,Abitur,Kommunale Räte,Pflegeberuf
660,"Zickenheiner, Gerhard",Die Grünen,Masterabschluss,Abitur,Kommunale Räte,Ingenieurwesen und Bau
661,Ziegler,SPD,Masterabschluss,Abitur,Kommunale Räte,Keine Daten
662,"Ziemiak, Paul",Union,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
663,Zierke,SPD,Berufsausbildung,Mittlere Reife,Führungsposition auf Landesebene,Keine Daten
664,"Zimmer, Matthias",Union,Promotion,Abitur,Kommunale Räte,Akademische Lehre
665,Zimmermann,SPD,Promotion,Abitur,Kommunales Führungsamt,Bankwesen
666,"de Maizière, Thomas",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
667,"de Vries, Christoph",Union,Masterabschluss,Abitur,Kommunale Räte,Politik
668,"de Vries, Kees",Union,Berufsausbildung,Hauptschulabschluss,Kommunale Räte,Landwirtschaft
669,"in der Beek, Olaf",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
670,"von Marschall, Matern",Union,Masterabschluss,Abitur,Kein politisches Amt,Kultur
671,"von Stetten, Christian Freiherr",Union,Masterabschluss,Abitur,Kommunale Räte,Unternehmer
672,"von der Leyen, Ursula",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Medizin/Arzt
673,"von der Marwitz, Hans-Georg",Union,Berufsausbildung,Mittlere Reife,Kommunale Räte,Landwirtschaft
674,Özdemir,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
675,"Özdemir, Cem",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
676,Özoğuz,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
677,"Münzenmaier, Sebastian",AfD,Keine Daten,Abitur,Kein politisches Amt,Politik
678,"Wagner, Daniela",Die Grünen,Keine Daten,Abitur,Parteiamt auf Bundes- oder Landesebene,Keine Daten
679,Alexander Ulrich,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
680,Christine Buchholz,Die Linke,Keine Daten,Keine Daten,Keine Daten,Keine Daten
681,Doris Achelwilm,Die Linke,Keine Daten,Mittlere Reife,Keine Daten,Keine Daten
682,Dr. Dietmar Bartsch,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
683,Dr. Gesine Lötzsch,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
684,Dr. Sahra Wagenknecht,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
685,Fabio De Masi,Die Linke,Keine Daten,Keine Daten,Keine Daten,Keine Daten
686,Gökay Akbulut,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
687,Hubertus Zdebel,Die Linke,Keine Daten,Keine Daten,Keine Daten,Keine Daten
688,Jan Korte,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
689,Jessica Tatti,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
690,Kersten Steinke,Die Linke,Keine Daten,Mittlere Reife,Keine Daten,Keine Daten
691,Kerstin Kassner,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
692,Lorenz Gösta Beutin,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
693,Matthias W. Birkwald,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
694,Niema Movassat,Die Linke,Keine Daten,Mittlere Reife,Keine Daten,Keine Daten
695,Pascal Meiser,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
696,Petra Pau,Die Linke,Keine Daten,Keine Daten,Keine Daten,Keine Daten
697,Ralph Lenkert,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
698,Stefan Liebich,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
699,Tobias Pflüger,Die Linke,Keine Daten,Keine Daten,Keine Daten,Keine Daten
700,Victor Perli,Die Linke,Keine Daten,Keine Daten,Keine Daten,Keine Daten
701,Zaklin Nastic,Die Linke,Keine Daten,Abitur,Keine Daten,Keine Daten
702,Hartmann,SPD,Keine Daten,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
703,Heidenblut,SPD,Keine Daten,Abitur,Kommunale Räte,Verwaltung
704,Mattheis,SPD,Keine Daten,Keine Daten,Führungsposition auf Landesebene,Keine Daten
705,Nietan,SPD,Keine Daten,Abitur,Parteiamt auf Bundes- oder Landesebene,Keine Daten
706,Saathoff,SPD,Keine Daten,Abitur,Kommunales Führungsamt,Keine Daten
707,"Schmidt, D.",SPD,Keine Daten,Abitur,Landtag,Wissenschaft
708,Schulte,SPD,Keine Daten,Mittlere Reife,Kommunales Führungsamt,Keine Daten
709,Vöpel,SPD,Keine Daten,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
710,Weber,SPD,Keine Daten,Mittlere Reife,Kommunale Räte,Keine Daten
