index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
77,"Bühl, Marcus",AfD,Masterabschluss,Abitur,Kein politisches Amt,Politik
78,"Bülow, Marco",Fraktionslos,Bachelorabschluss,Abitur,Kommunale Räte,Journalismus
79,"Büttner, Matthias",AfD,Berufsausbildung,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
80,Caren Lay,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
81,"Castellucci, Lars",SPD,Promotion,Abitur,Kommunales Führungsamt,Verwaltung
82,"Christmann, Anna",Die Grünen,Promotion,Abitur,Kein politisches Amt,Wissenschaft
83,"Chrupalla, Tino",AfD,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Unternehmer
84,"Connemann, Gitta",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
85,Cornelia Möhring,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
86,"Cotar, Joana",AfD,Bachelorabschluss,Abitur,Kein politisches Amt,Politik
87,"Cronenberg, Carl-Julius",FDP,Bachelorabschluss,Abitur,Kommunales Führungsamt,Unternehmer
88,"Curio, Gottfried ",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Kultur
89,"Daldrup, Bernhard ",SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Politik
90,"Damerow, Astrid",Union,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Unternehmer
91,"Dassler, Britta Katharina",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
92,De Ridder,SPD,Promotion,Keine Daten,Keine Daten,Keine Daten
93,"Deligöz, Ekin",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
94,Dilcher,SPD,Masterabschluss,Mittlere Reife,Keine Daten,Keine Daten
95,Dittmar,SPD,Masterabschluss,Mittlere Reife,Keine Daten,Keine Daten
96,"Djir-Sarai, Bijan",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Service
